Category 1,Category 2,Category 3,Name,PLU,Base Price,GTINs,Description,Image Links,Weight Unit,Weight,Dimension Unit,Height,Width,Length,Manufacturer Name,Manufacturer Brand,Manufacturer Address,Tax Rate,Program Eligibility,Price Unit,Sell Unit,Volume Unit,Volume,Allergens,Energy,Energy Unit,Product Traits,Wine variety,Wine vintage,Alcohol percentage,Wine styles,Country origin,Package type,Region origin,Grape variety,Tasting notes,Package Dimension Height,Package Dimension Width,Package Dimension Length,Package Dimension Unit,Package Volume,Package Volume Unit,Package Weight,Package Weight Unit,Package Count,Storage Instructions,Net Quantity Unit,Net Quantity,Serving Size Unit,Serving Size,Servings,Conversion Rate,Minimum Quantity,Maximum Quantity,Ingredients,Additives,Instruction For Use,Deposit,Added Sugar,Calcium,Carbohydrates,Chloride,Cholesterol,Fat,Fiber,Fluoride,Magnesium,Monounsaturated Fat,Polyols,Polyunsaturated Fat,Potassium,Protein,Salt,Saturated Fat,Sodium,Starch,Sugar,Trans Fat,Vitamin C,In-store price
Baby & Toddler,Baby Milk,,Nestlé Cerelac Infant Cereal Wheat with Milk from 6 Months 1kg,20090107,11.33,8410100099095,,https://asdagroceries.scene7.com/is/image/asdagroceries/8410100099095,,,,,,,,,,0,,,,,,,,,"BABY_NURSING_AND_FEEDING,INFANT_FORMULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33
Baby & Toddler,Baby Milk,,Nestlé Cerelac Infant Cereal Honey & Wheat with Milk from 12 Months 1kg,20090106,11.33,7616100581535,,https://asdagroceries.scene7.com/is/image/asdagroceries/7616100581535,,,,,,,,,,0,,,,,,,,,"BABY_NURSING_AND_FEEDING,INFANT_FORMULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33
Baby & Toddler,Baby Milk,,Cerelac Infant Cereals with Milk Mixed Fruits & Wheat from 7 Months 1kg,20090108,11.33,8410100181523,,https://asdagroceries.scene7.com/is/image/asdagroceries/8410100181523,,,,,,,,,,0,,,,,,,,,"BABY_NURSING_AND_FEEDING,INFANT_FORMULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33
Baby & Toddler,Baby Milk,,Cow & Gate 4 Growing Up Milk Formula 800g,20100006,13.12,5051594001930,,https://asdagroceries.scene7.com/is/image/asdagroceries/5051594001930,,,,,,,,,,0,,,,,,,,,"BABY_NURSING_AND_FEEDING,INFANT_FORMULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.12
Baby & Toddler,Baby Milk,,Aptamil 1 First Infant Milk from Birth 1 Litre,20100001,6.56,5051594002692,,https://asdagroceries.scene7.com/is/image/asdagroceries/5051594002692,,,,,,,,,,0,,,,,,,,,"BABY_NURSING_AND_FEEDING,INFANT_FORMULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
Baby & Toddler,Feeding & Accessories,,"Tommee Tippee Essentials Bottle and Teat Brush, Extra Wide with Nylon Bristles",20140006,2.52,5010415323088,,https://asdagroceries.scene7.com/is/image/asdagroceries/5010415323088,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52
Baby & Toddler,Feeding & Accessories,,"Tommee Tippee 190ml First Cup Sippy Cup, Free-Flow Spout, Easy Grip Handles, 4m+",20140030,2.22,5010415311108,,https://asdagroceries.scene7.com/is/image/asdagroceries/5010415311108,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22
Baby & Toddler,Feeding & Accessories,,Nûby Bug a Loop Teether 3m+,20140007,8.12,48526004782,,https://asdagroceries.scene7.com/is/image/asdagroceries/0048526004782,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12
Baby & Toddler,Feeding & Accessories,,Little Angels Standard Neck Feeding Bottles 0m+,20140008,4.07,5052449626544,,https://asdagroceries.scene7.com/is/image/asdagroceries/5052449626544,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07
Baby & Toddler,Feeding & Accessories,,Little Angels Wide Neck Feeding Bottles 0m+,20140009,3.76,5052449626551,,https://asdagroceries.scene7.com/is/image/asdagroceries/5052449626551,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76
